"특성별(1)",특성별(2),2021,2021,2021,2021,2021
"특성별(1)",특성별(2),건강(영양)에 좋은 제품을 구입하겠다,원료의 품질과 안전성이 확보된 제품 구입하겠다,다양하고 새로운 맛을 낸 제품 구입하겠다,소포장 사용 및 취식·조리 간편화된 제품 구입하겠다,제품의 업그레이드/신제품 개발과 관계없이 가격만 저렴하면 구입하겠다
"가구원수별",1인,8.3,26.1,38.2,21.4,6.0
"가구원수별",2인,8.9,30.4,37.0,17.7,6.1
"가구원수별",3인,7.4,27.7,39.6,19.4,5.9
"가구원수별",4인 이상,8.4,25.5,41.3,18.2,6.6
"가구주성별",남성,8.2,27.4,39.5,18.7,6.2
"가구주성별",여성,8.4,27.9,37.6,20.2,6.0
"가구주연령별",20대,9.1,25.1,35.9,26.1,3.8
"가구주연령별",30대,7.9,32.2,40.1,17.1,2.7
"가구주연령별",40대,7.6,25.1,42.4,18.0,6.8
"가구주연령별",50대,6.8,27.4,38.9,21.7,5.2
"가구주연령별",60대 이상,10.2,27.5,36.0,17.0,9.3
