"특성별(1)",특성별(2),2020,2020,2020,2020,2020
"특성별(1)",특성별(2),가격이 비싸도 프리미엄(고급)제품을 구입하겠다,가격이 비싸도 다양하고 새로운 맛을 첨가한 제품을 구입하겠다,가격이 비싸도 건강에 좋은 원료 안전성이 확보된 제품을 구입하겠다,가격이 비싸도 소포장 사용 및 취식/조리가 간편화된 제품을 구입하겠다,제품의 업그레이드/신제품 개발과 관계없이 가격만 저렴하면 구입하겠다
"가구원수별",1인,2.2,19.2,42.5,30.1,6.0
"가구원수별",2인,3.7,20.7,42.1,28.7,4.8
"가구원수별",3인,3.0,18.0,52.7,22.8,3.5
"가구원수별",4인,5.7,20.8,45.4,24.9,3.2
"가구원수별",5인 이상,4.0,19.9,42.0,11.2,22.9
"가구주성별",남성,4.2,19.9,46.1,25.5,4.2
"가구주성별",여성,1.9,19.0,43.2,30.1,5.9
"가구주연령별",20대,2.0,30.5,38.0,22.3,7.1
"가구주연령별",30대,2.5,15.0,45.9,31.3,5.4
"가구주연령별",40대,5.1,23.1,45.1,24.3,2.5
"가구주연령별",50대,5.1,15.4,49.8,24.7,5.0
"가구주연령별",60대 이상,1.7,20.9,43.9,28.9,4.6
